NAME;EAST;NORTH;TYPE
Abiyad;33.9081;26.554444;Dwelling, habitation
Abu_Shaar;33.68283;27.36892;Late Roman fort
Abu_Shaar_el-Qibli;33.63299;27.369;Roman fort
Abu_Zawal;33.242044;26.658946 ;Southern New Kingdom settlement
Badia;33.34487;27.21474;Roman fort
Bahlog;33.5080555555556;26.3980555277778;New Kingdom settlement
Barud;33.58525;26.76723;Fort
Belih;33.38201;27.23871;Roman station
Bir_Wasif;33.7624972222222;26.5059638888889;Village (Late Antiquity)
Bitan01;35.05396;23.63318;Settlement and mine
Bitan02;35.050438;23.632230;Settlement and mine
Bokari_south;33.7336110833333;25.2219444166667;New Kingdom settlement 
Deir_El-Atrash;33.08186;26.93555 ;Byzantine fort
El-Eleiga;35.05418;23.61878 ;Mining settlement
El-Heita;32.76335;26.60857;hill fort
El-Hisinat;33.807778;25.295;North New Kingdom settlement and mines
El-Matula;32.96241;25.93003;Roman fort 
El-Saqqia;32.881717;26.734697;Roman fort 
Fatira_El-Beida;33.32357;26.73368;Village
Gadalla ;33.725556;25.373889;South settlement
Gebel_El-Asr;31.2252;22.8058;Dwelling, habitation
Ghozza;33.1083;26.8692;Roman fort 
Gidami;33.452222;26.391667;Roman settlement
Naqqat ;33.2824999722222;27.0503;Church
Porphyrites_Footpath_station;33.30691;27.21779;Small fort
Porphyrites_Lykabettus_village;33.28329;7.2423611111111 ;Settlement
Porphyrites_Northwest_Village;33.27745;27.25751;Settlement 
Porphyrites_Southwest_village;33.28564;27.23261 ;Settlement 
Porphyrites_The_Bradford_Village;33.3007;27.2672 ;Settlement 
Porphyrites_The_Foot_Village;33.2813;27.256;Settlement 
Porphyrites_Wadi_Maamal;33.30163;27.2511;Fort
Qalt_El-Naqah;33.119926;26.818962;Main building
Qattar;33.22886;27.08929;Roman fort 
Qirayyah;33.0191;26.371;Roman Fort
Ras_El-Ghozza;33.3705138888889;26.975883333333;Graves 
Seh_Nasb;33.3879;29.0603;Batteries of kilns
Shealeq;35.2749;24.11703;Graves and cairns
The_Hydreuma;33.4785;26.8051 ;Fort
Umm_Balad;33.29133;27.14754;Roman fort 
Umm_Huyut;33.4693;26.7468;Settlement
Umm_Wikalah;33.66443;26.43416;Main building
Wadi_Araba;32.3601;29.139;Old Kingdom buildings
Wadi_Dara;32.8506;27.9147;Old Kingdom settlement
Wadi_El-Hudi;33.131360;23.961562;Middle Kingdom fort
Wadi_Kharig;33.3453;29.0501;Old Kingdom settlement
Wadi_Maghara;33.3725;28.8976;Old Kingdom settlement
Wadi_Umm_Nikhaybar;31.5908;29.0781;New Kingdom fort
Wadi_Umm_Nikhaybar02;31.5896;29.0765;Old Kingdom settlement
Wadi-El-Djarf01;32.6262;28.903;Old Kingdom settlement
Wadi-El-Djarf02;32.6582;28.8917;Old Kingdom building
